M/W,Season,Match_No,League,開催日,開催地,会場,入場者数,開始時刻,終了時刻,試合時間,JURY,1stﾚﾌｪﾘｰ,2ndﾚﾌｪﾘｰ,判定員,Team1,Team2,セット:得,セット:失,セット1:得点,セット1:失点,セット1:時間,セット2:得点,セット2:失点,セット2:時間,セット3:得点,セット3:失点,セット3:時間,セット4:得点,セット4:失点,セット4:時間,セット5:得点,セット5:失点,セット5:時間,Team,アタック_打数,アタック_得点,アタック_失点,アタック_決定率,アタック_セット平均,アタック(内バックアタック)_打数,アタック(内バックアタック)_得点,アタック(内バックアタック)_失点,アタック(内バックアタック)_決定率,ブロック_得点,ブロック_セット平均,サーブ_打数,サーブ_得点,サーブ_失点,サーブ_効果,サーブ_効果率,サーブレシーブ_受数,サーブレシーブ_成功・優,サーブレシーブ_成功・良,サーブレシーブ_成功率
Men,2004_2005,213,第11回Vリーグ男子   ファイナルラウンド,3/4/2005,-,大阪市中央体育館,2000,0.666666667,0.721527778,0.054861111,-,酒出　修,田野　昭彦,岡野　俊樹,東レアローズ,NECブルーロケッツ,3,0,25,21,0.017361111,26,24,0.018055556,25,20,0.015277778,-,-,-,-,-,-,東レアローズ,86,46,5,53.5,15.33,14,8,0,57.1,9,3,74,3,10,27,12.6,59,38,0,64.4
Men,2004_2005,213,第11回Vリーグ男子   ファイナルラウンド,3/4/2005,-,大阪市中央体育館,2000,0.666666667,0.721527778,0.054861111,-,酒出　修,田野　昭彦,岡野　俊樹,東レアローズ,NECブルーロケッツ,0,3,21,25,0.017361111,24,26,0.018055556,20,25,0.015277778,-,-,-,-,-,-,NECブルーロケッツ,84,38,11,45.2,12.67,18,8,3,44.4,7,2.33,67,3,6,20,11.6,63,34,0,54
Men,2004_2005,214,第11回Vリーグ男子   ファイナルラウンド,3/4/2005,-,大阪市中央体育館,2600,0.75,0.827777778,0.077777778,-,高橋　憲太郎,勝又　正,中村　滉伊知,JTサンダーズ,パナソニックパンサーズ,3,2,25,17,0.013888889,25,22,0.017361111,22,25,0.015972222,20,25,0.014583333,15,4,0.007638889,JTサンダーズ,106,63,7,59.4,12.6,24,14,3,58.3,22,4.4,107,0,8,28,6.5,78,53,0,67.9
Men,2004_2005,214,第11回Vリーグ男子   ファイナルラウンド,3/4/2005,-,大阪市中央体育館,2600,0.75,0.827777778,0.077777778,-,高橋　憲太郎,勝又　正,中村　滉伊知,JTサンダーズ,パナソニックパンサーズ,2,3,17,25,0.013888889,22,25,0.017361111,25,22,0.015972222,25,20,0.014583333,4,15,0.007638889,パナソニックパンサーズ,126,61,5,48.4,12.2,18,6,2,33.3,8,1.6,93,5,13,22,10.6,99,71,0,71.7
Men,2004_2005,215,第11回Vリーグ男子   ファイナルラウンド,3/5/2005,-,大阪市中央体育館,4530,0.586805556,0.668055556,0.08125,-,勝又　正,高橋　憲太郎,深江　泰彦,東レアローズ,パナソニックパンサーズ,3,1,21,25,0.015972222,25,22,0.016666667,39,37,0.027083333,25,21,0.015277778,-,-,-,東レアローズ,153,78,13,51,19.5,33,24,3,72.7,7,1.75,109,3,12,15,5.8,98,78,0,79.6
Men,2004_2005,215,第11回Vリーグ男子   ファイナルラウンド,3/5/2005,-,大阪市中央体育館,4530,0.586805556,0.668055556,0.08125,-,勝又　正,高橋　憲太郎,深江　泰彦,東レアローズ,パナソニックパンサーズ,1,3,25,21,0.015972222,22,25,0.016666667,37,39,0.027083333,21,25,0.015277778,-,-,-,パナソニックパンサーズ,133,67,10,50.4,16.75,33,20,2,60.6,9,2.25,106,1,7,20,5.7,96,79,0,82.3
Men,2004_2005,216,第11回Vリーグ男子   ファイナルラウンド,3/5/2005,-,大阪市中央体育館,4370,0.690972222,0.758333333,0.067361111,-,田野　昭彦,酒出　修,田中　仁,NECブルーロケッツ,JTサンダーズ,3,1,14,25,0.013888889,25,22,0.016666667,25,18,0.014583333,25,19,0.015972222,-,-,-,NECブルーロケッツ,112,53,11,47.3,13.25,30,11,4,36.7,12,3,88,0,7,19,5.4,74,49,0,66.2
Men,2004_2005,216,第11回Vリーグ男子   ファイナルラウンド,3/5/2005,-,大阪市中央体育館,4370,0.690972222,0.758333333,0.067361111,-,田野　昭彦,酒出　修,田中　仁,NECブルーロケッツ,JTサンダーズ,1,3,25,14,0.013888889,22,25,0.016666667,18,25,0.014583333,19,25,0.015972222,-,-,-,JTサンダーズ,117,50,10,42.7,12.5,16,7,1,43.8,8,2,85,2,10,24,9.2,81,62,0,76.5
Men,2004_2005,217,第11回Vリーグ男子   ファイナルラウンド,3/6/2005,-,大阪市中央体育館,5600,0.586805556,0.65625,0.069444444,-,高橋　憲太郎,田野　昭彦,内山　志鶴子,東レアローズ,JTサンダーズ,1,3,24,26,0.017361111,23,25,0.016666667,25,20,0.015277778,15,25,0.013888889,-,-,-,東レアローズ,117,55,11,47,13.75,23,9,2,39.1,9,2.25,88,0,10,23,6.5,86,50,0,58.1
Men,2004_2005,217,第11回Vリーグ男子   ファイナルラウンド,3/6/2005,-,大阪市中央体育館,5600,0.586805556,0.65625,0.069444444,-,高橋　憲太郎,田野　昭彦,内山　志鶴子,東レアローズ,JTサンダーズ,3,1,26,24,0.017361111,25,23,0.016666667,20,25,0.015277778,25,15,0.013888889,-,-,-,JTサンダーズ,117,64,14,54.7,16,20,10,5,50,7,1.75,95,1,8,36,10.5,78,55,0,70.5
Men,2004_2005,218,第11回Vリーグ男子   ファイナルラウンド,3/6/2005,-,大阪市中央体育館,6000,0.677777778,0.735416667,0.057638889,-,酒出　修,勝又　正,中村　滉伊知,NECブルーロケッツ,パナソニックパンサーズ,3,0,27,25,0.01875,25,22,0.016666667,27,25,0.018055556,-,-,-,-,-,-,NECブルーロケッツ,78,42,6,53.8,14,17,10,0,58.8,11,3.67,78,1,10,17,6.7,59,32,0,54.2
Men,2004_2005,218,第11回Vリーグ男子   ファイナルラウンド,3/6/2005,-,大阪市中央体育館,6000,0.677777778,0.735416667,0.057638889,-,酒出　修,勝又　正,中村　滉伊知,NECブルーロケッツ,パナソニックパンサーズ,0,3,25,27,0.01875,22,25,0.016666667,25,27,0.018055556,-,-,-,-,-,-,パナソニックパンサーズ,98,47,10,48,15.67,31,11,6,35.5,5,1.67,73,2,13,26,11.4,67,50,0,74.6
Men,2004_2005,219,第11回Vリーグ男子   ファイナルラウンド,3/11/2005,-,さいたまスーパーアリーナ,2546,0.75,0.822222222,0.072222222,-,酒出　修,高橋　憲太郎,島崎 美晴,NECブルーロケッツ,東レアローズ,1,3,25,20,0.015972222,19,25,0.016666667,29,31,0.020833333,12,25,0.0125,-,-,-,NECブルーロケッツ,126,53,16,42.1,13.25,27,14,6,51.9,6,1.5,86,3,14,14,7.1,90,67,0,74.4
Men,2004_2005,219,第11回Vリーグ男子   ファイナルラウンド,3/11/2005,-,さいたまスーパーアリーナ,2546,0.75,0.822222222,0.072222222,-,酒出　修,高橋　憲太郎,島崎 美晴,NECブルーロケッツ,東レアローズ,3,1,20,25,0.015972222,25,19,0.016666667,31,29,0.020833333,25,12,0.0125,-,-,-,東レアローズ,118,57,11,48.3,14.25,24,13,5,54.2,11,2.75,100,3,10,20,7.4,71,55,0,77.5
Men,2004_2005,220,第11回Vリーグ男子   ファイナルラウンド,3/12/2005,-,さいたまスーパーアリーナ,5302,0.458333333,0.529166667,0.070833333,-,小柴　滋,酒出　修,紺野　栄一,パナソニックパンサーズ,JTサンダーズ,1,3,23,25,0.017361111,15,25,0.014583333,25,20,0.016666667,20,25,0.015972222,-,-,-,パナソニックパンサーズ,115,49,14,42.6,12.25,32,12,8,37.5,10,2.5,84,2,14,20,8.1,81,50,0,61.7
Men,2004_2005,220,第11回Vリーグ男子   ファイナルラウンド,3/12/2005,-,さいたまスーパーアリーナ,5302,0.458333333,0.529166667,0.070833333,-,小柴　滋,酒出　修,紺野　栄一,パナソニックパンサーズ,JTサンダーズ,3,1,25,23,0.017361111,25,15,0.014583333,20,25,0.016666667,25,20,0.015972222,-,-,-,JTサンダーズ,110,54,7,49.1,13.5,16,6,3,37.5,5,1.25,94,5,13,26,11.2,69,48,0,69.6
Men,2004_2005,221,第11回Vリーグ男子   ファイナルラウンド,3/12/2005,-,さいたまスーパーアリーナ,7704,0.583333333,0.660416667,0.077083333,-,高橋憲太郎,田野昭彦,山之内正隆,東レアローズ,NECブルーロケッツ,3,1,20,25,0.016666667,25,20,0.016666667,25,22,0.018055556,25,20,0.019444444,-,-,-,東レアローズ,105,53,6,50.5,13.25,18,11,1,61.1,11,2.75,94,3,13,25,9.2,71,55,0,77.5
Men,2004_2005,221,第11回Vリーグ男子   ファイナルラウンド,3/12/2005,-,さいたまスーパーアリーナ,7704,0.583333333,0.660416667,0.077083333,-,高橋憲太郎,田野昭彦,山之内正隆,東レアローズ,NECブルーロケッツ,1,3,25,20,0.016666667,20,25,0.016666667,22,25,0.018055556,20,25,0.019444444,-,-,-,NECブルーロケッツ,109,46,11,42.2,11.5,25,7,5,28,10,2.5,88,6,13,14,10.3,81,53,0,65.4
Men,2004_2005,101,第11回Vリーグ男子   レギュラーラウンド,11/6/2004,-,大阪府立体育会館,3100,0.583333333,0.669444444,0.086111111,-,利根川　忠史,田野　敏彦,中村　滉伊知,NECブルーロケッツ,サントリーサンバーズ,2,3,20,25,0.016666667,15,25,0.015277778,25,21,0.017361111,25,21,0.017361111,13,15,0.011111111,NECブルーロケッツ,103,53,9,51.5,10.6,25,13,3,52,11,2.2,99,4,19,24,9.9,84,49,0,58.3
